id,dictionary,reading,meanings,partOfSpeech,verbType,adjectiveType,jlptLevel,frequency
2885,"実施","じっし","[""enforcement; implementation; putting into practice; carrying out; operation; working (e.g. working parameters); enactment; その計画は実施された。; The plan was put into operation.""]","noun","suru","","N2",1
2886,"実習","じっしゅう","[""practice (in the field); training (esp. practical and hands-on); practical exercise; drill; マンツーマンで指導して頂けたという点でも、非常に充実した実習になった。; Just getting one-to-one guidance was enough to make it an extremely fulfilling practise session.""]","noun","suru","","N2",1
2887,"実績","じっせき","[""achievements; actual results; accomplishments; past results; track record; その新米のセールスマンが、トップの販売実績をあげたやり方は指導員の目を見はらせた。; The manner in which the new salesman made top sales level was an eye-opener to his supervisor.""]","noun","","","N2",1
2888,"実践","じっせん","[""practice; putting into practice; implementation; あなたが結婚し子供を持ったら、言葉より実践ということを悟るでしょう。; When you get married and have kids, you'll realize that actions speak louder than words.""]","noun","suru","","N1",1
2889,"実態","じったい","[""true state; actual condition; reality; 死亡事例が19件と全体の20％を超えており、過労死の深刻な実態が浮き彫りになった。; With 19 cases of death forming over 20% of the whole, the grave reality of overwork-deaths has been thrown into relief.""]","noun","","","N1",1
2890,"実費","じっぴ","[""actual expenses; out-of-pocket expenses""]","noun","","","N1",1
2891,"実物","じつぶつ","[""real thing; original; actual; あの彼の写真は実物より悪く撮れている。; That picture does not do justice to him.""]","noun","","","N2",1
2892,"実用","じつよう","[""practical use; utility; そのような技術は多くの実用が可能であろう。; Such skills could be put to many practical uses.""]","noun","","","N2",1
2893,"実力","じつりょく","[""(real) ability; true strength; merit; efficiency; competency; けっきょく、実力が勝つ。; Real ability wins in the end.""]","noun","","","N2",1
2894,"実例","じつれい","[""example; illustration; precedent; 実例は教訓にまさる。; Example is better than precept.""]","noun","","","N2",1
2895,"芝","しば","[""lawn; sod; turf; 母は私に芝を刈るように言った。; Mother told me to mow the lawn.""]","noun","","","N1",1
2896,"芝居","しばい","[""play; drama; どの芝居がいいですか。; Can you recommend a good play?""]","noun","","","N2",1
2897,"芝生","しばふ","[""lawn; grass; turf; 芝生に露が降りている。; Dew has formed on the lawn.""]","noun","","","N2",1
2898,"縞","しま","[""stripe; bar; streak; あのグリーンの縞のシャツ、今洗濯してるん？; Is that green striped shirt in the wash?""]","noun","","","N2",1
2899,"写し","うつし","[""copy; duplicate; facsimile; transcript; その写しは原本と合っている。; The copy agrees with the original.""]","noun","","","N1",1
2900,"写る","うつる","[""to be photographed; to be projected; 私は鏡に写っている自分を見つめているのです。; I'm staring at myself in a mirror.""]","verb","godan","","N2",1
2901,"写真","しゃしん","[""photograph; photo; picture; photography; あなたに何枚かの写真を見せましょう。; I will show you some pictures.""]","noun","","","N5",1
2902,"写生","しゃせい","[""sketching; drawing from nature; portrayal; description""]","noun","suru","","N2",1
2903,"射す","さす","[""to shine; see: ; 差す;  1. to shine; 雲間が開け光が射した。; The clouds opened and the sun shone through.""]","verb","godan","","N2",1
2904,"捨てる","すてる","[""to throw away; to cast away; to dump; to discard; 私はあなたの皮肉な言葉は聞き捨てにはできません。; I resent your cynical remarks.""]","verb","ichidan","","",1
2905,"斜め","ななめ","[""slanting; tilted; sloping; diagonal; oblique; see: ; 斜;  diagonal; えらくご機嫌ななめね、けんか腰にならないで。; Wow, you're really in a bad mood. Don't get scrappy.""]","noun","","na_adjective","N2",1
2906,"斜面","しゃめん","[""slope; slanting surface; bevel; 岩は丘の斜面を転がり落ちた。; The rock rolled down the hillside.""]","noun","","","N1",1
2907,"煮える","にえる","[""to be boiled; to be cooked; スープがなべでぐつぐつ煮えている。; The soup is bubbling in the pot.""]","verb","ichidan","","N2",1
2908,"煮る","にる","[""to boil; to simmer; to stew; to seethe; see: ; 茹でる; （; ゆでる; ）;  1. to boil (something in hot water); くたくたに煮る。; Reduce to pulp by boiling.""]","verb","ichidan","","N2",1
2909,"社会","しゃかい","[""society; public; community; the world; 彼の一生は社会の下積みで終わった。; He lived and died in obscurity.""]","noun","","","",1
2910,"社会科学","しゃかいかがく","[""social science; その大学の課程は自然科学と社会科学から成り立っている。; That university's curriculum covers natural science and social science.""]","noun","","","N2",1
2911,"社交","しゃこう","[""social life; social intercourse; 六月はロンドンでは社交の季節だ。; June is a social season in London.""]","noun","","","N1",1
2912,"社説","しゃせつ","[""editorial; leading article; leader; 今朝の新聞の社説を読みましたか。; Have you read the leading article in today's paper?""]","noun","","","N2",1
2913,"社宅","しゃたく","[""company housing; housing provided by one's company""]","noun","","","N1",1
2914,"社長","しゃちょう","[""company president; manager; director; この会社の社長は誰ですか。; Who is the boss of this company?""]","noun","","","",1
2915,"者","もの","[""person; rarely used without a qualifier; じっくり彼に耳を貸す者はいない。; No one stops to listen to him.""]","noun","","","N3",1
2916,"謝る","あやまる","[""to apologize (apologise); 私は彼女に謝らなければならない。; I must make an apology to her.""]","verb","godan","","",1
2917,"謝絶","しゃぜつ","[""refusal; declining""]","noun","suru","","N1",1
2918,"車","くるま","[""car; automobile; vehicle; 車を運転する時はいくら注意してもしすぎることはない。; You cannot be too careful when you drive a car.""]","noun","","","N5",1
2919,"車庫","しゃこ","[""garage; carport; depot (for trains, buses, etc.); shed; carbarn; 私は車庫付きの家を借りた。; I rented a house with a garage.""]","noun","","","N2",1
2920,"車掌","しゃしょう","[""(train) conductor; オレンジカードは車掌が販売している。; \""Orange Cards\"" are available from the conductor.""]","noun","","","N2",1
2921,"車輪","しゃりん","[""(vehicle) wheel; 一輪車は車輪がひとつしかありません。; A unicycle has only one wheel.""]","noun","","","N2",1
2922,"遮る","さえぎる","[""to interrupt; to obstruct (a view, someone's way, etc.); to block (light, wind, etc.); to intercept; to cut off; この大木で光がすっかりさえぎられている。; The light is completely blocked out by the big tree.""]","verb","godan","","N1",1
2923,"蛇口","じゃぐち","[""faucet; tap; この蛇口は使えません。故障しています。; You can't use this faucet. It's out of order.""]","noun","","","N2",1
2924,"邪魔","じゃま","[""hindrance; obstacle; nuisance; disturbance; interruption; interference; お邪魔じゃないでしょうか。; I hope I'm not disturbing you.""]","noun","suru","na_adjective","",1
2925,"借り","かり","[""borrowing; debt; loan; なした約束は払ってない借りである。; A promise made is a debt unpaid.""]","noun","","","N1",1
2926,"借りる","かりる","[""to borrow; この本をお借りしてもよろしいですか。; May I borrow this book?""]","verb","ichidan","","N5",1
2927,"借金","しゃっきん","[""debt; loan; liabilities; borrowing money; 君は借金を払うべきだ。; You should pay your debts.""]","noun","suru","","N2",1
2928,"酌む","くむ","[""to pour (sake); to serve; to drink (together); see: ; 汲む;  2. to pour (into a cup); to drink (together)""]","verb","godan","","N2",1
2929,"若い","わかい","[""young; youthful; 「彼女は若いですか」「はい」; \""Is she young?\"" \""Yes, she is.\""""]","adjective","","i_adjective","N5",1
2930,"若干","じゃっかん","[""some; few; a number of; a little (bit); 公園のつつじの世話をする庭師が若干名いる。; Several gardeners look after the azaleas in the park.""]","noun","","","N1",1
2931,"弱","じゃく","[""a little less than; a little under; slightly fewer than; antonym: ; 強;  1. a little over; a little more than; ６月末に参加者を募ったら１週間弱で約５００席が予約でいっぱいになった。; When participants were sought at the end of June all, about 500, seats were reserved in under a week.""]","noun","","","N1",1
2932,"弱い","よわい","[""weak; frail; delicate; tender; unskilled; weak (wine); それを言われると弱いなあ。; That sure puts me on the spot.""]","adjective","","i_adjective","N5",1
2933,"弱まる","よわまる","[""to abate; to weaken; to be emaciated; to be dejected; to be perplexed; あらしの勢いが弱まった。; The storm abated.""]","verb","godan","","N1",1
2934,"弱める","よわめる","[""to weaken; 大きなかしわの木が風の力を弱めている。; The big oak tree breaks the force of the wind.""]","verb","ichidan","","N1",1
2935,"弱る","よわる","[""to weaken; to grow weak; to wane; to decline (of one's health); 彼は寄る年波で弱った。; He sank under the weight of age.""]","verb","godan","","N1",1
2936,"弱点","じゃくてん","[""weak point; weakness; shortcoming; defect; flaw; sore spot; tender spot; see: ; 短所;  defect; demerit; weak point; disadvantage; 数学は彼女の弱点です。; Mathematics is her weak point.""]","noun","","","N2",1
2937,"主","しゅ; ぬし","[""(one's) master; (one's) employer; (one's) lord""]","noun","","","N1",1
2938,"主に","おもに","[""mainly; primarily; mostly; largely; chiefly; 彼の病気は主に精神的な物だった。; His illness was mainly psychological.""]","adverb","","","N2",1
2939,"主演","しゅえん","[""starring (in a film, play, etc.); playing the leading part; 私は昨日チャーリーチャップリン主演の古い映画を見た。; I saw an old film featuring Charlie Chaplin yesterday.""]","noun","suru","","N1",1
2940,"主観","しゅかん","[""subjectivity; subject (philosophical); ego""]","noun","","","N1",1
2941,"主義","しゅぎ","[""doctrine; rule; principle; -ism; それは私の主義に反する。; That runs against my principles.""]","noun","","","N2",1
2942,"主権","しゅけん","[""sovereignty; supremacy; dominion; 主権は人民にある。; Sovereignty resides in the people.""]","noun","","","N1",1
2943,"主語","しゅご","[""subject; 英語の文構造は大抵、主語、動詞、目的語／補語だ。; In English, the usual sentence structure is Subject - Verb - Object/Complement.""]","noun","","","N2",1
2944,"主催","しゅさい","[""sponsorship (i.e. conducting under one's auspices); promotion; organizing; organising; hosting; staging; 今日のパーティーは誰が主催なの？; Who was in charge of today's party?""]","noun","suru","","N1",1
2945,"主食","しゅしょく","[""staple food; 日本では米が主食です。; The main diet in Japan is rice.""]","noun","","","N1",1
2946,"主人公","しゅじんこう","[""protagonist; main character; hero; heroine; 主人公は、本の最後で死んだ。; The hero died at the end of the book.""]","noun","","","N1",1
2947,"主体","しゅたい","[""main constituent; core; nucleus; 主体・客体さえ訳せればあとはそこまで難しくないです。; If you can translate the subject and object then after that it isn't so difficult.""]","noun","","","N1",1
2948,"主題","しゅだい","[""subject; theme; motif; 私はこの主題に精通している。; I am familiar with this subject.""]","noun","","","N1",1
2949,"主張","しゅちょう","[""claim; insistence; assertion; advocacy; emphasis; contention; opinion; tenet; 私たちはその重要性を主張した。; We insisted on its importance.""]","noun","suru","","N2",1
2950,"主導","しゅどう","[""leadership; initiative; spearhead""]","noun","suru","","N1",1
2951,"主任","しゅにん","[""person in charge; senior staff; manager; chief; head; その問題は主任をひどく苦しめた。; The problem tortured the chief.""]","noun","","","N1",1
2952,"主婦","しゅふ","[""housewife; mistress (of the house); homemaker; 主婦は節約に努めるべきである。; A housewife should be economical.""]","noun","","","N3",1
2953,"主役","しゅやく","[""leading part; leading actor; leading actress; ケイトは映画で主役を演じる機会を与えられました。; Kate has been given an opportunity to play a major role in a movie.""]","noun","","","N2",1
2954,"主要","しゅよう","[""chief; main; principal; major; 日本の主要作物は米である。; The main crop of Japan is rice.""]","noun","","na_adjective","N2",1
2955,"取り扱う","とりあつかう","[""to handle; to operate (a machine, etc.); to use; 算数は数を取り扱う。; Arithmetic deals with numbers.""]","verb","godan","","N1",1
2956,"取り巻く","とりまく","[""to surround; to encircle; to enclose; 音楽は空気のように我々の生活を取り巻いている。; Music surrounds our lives like air.""]","verb","godan","","N1",1
2957,"取り寄せる","とりよせる","[""to order; to send away for; to have (something) sent to one; お取り寄せいたしましょうか。; Would you like me to order it?""]","verb","ichidan","","N1",1
2958,"取り混ぜる","とりまぜる","[""to mix; to put together""]","verb","ichidan","","N1",1
2959,"取り次ぐ","とりつぐ","[""to pass on (a message, thoughts, etc.); to convey; to transmit; to relay; to tell""]","verb","godan","","N1",1
2960,"取り出す","とりだす","[""to take out; to produce; to pick out; もう一つの面白いエネルギー源は、放射能の廃棄物質から取り出せる熱である。; Another interesting source of energy is the heat that can be recovered from radioactive waste material.""]","verb","godan","","N2",1
2961,"取り除く","とりのぞく","[""to remove; to deinstall; to take away; to set apart; 私は庭から雑草を取り除いた。; I rid the garden of the weeds.""]","verb","godan","","N1",1
2962,"取り消す","とりけす","[""to cancel; to withdraw; to retract; to take back (words, etc.); to revoke; ごめん、取り消すよ。; I'm sorry. I take back my words.""]","verb","godan","","N2",1
2963,"取り上げる","とりあげる","[""to pick up; 彼女はガラスの花瓶を取り上げた。; She picked up one of the glass vases.""]","verb","ichidan","","N2",1
2964,"取り組む","とりくむ","[""to grapple with; to wrestle with; to engage in a bout; to be matched against""]","verb","godan","","N1",1
2965,"取り替える","とりかえる","[""to exchange; to swap; to barter; to trade; これを青いのと取り替えてください。; Please change this for a blue one.""]","verb","ichidan","","",1
2966,"取り調べる","とりしらべる","[""to investigate; to examine; 事件の原因を取り調べるために実情調査委員会が作られた。; A fact-finding committee was set up to determine the cause of the incident.""]","verb","ichidan","","N1",1
2967,"取り締まる","とりしまる","[""to manage; to control; to supervise; to oversee; to command; 市は飲酒運転を非常に厳しく取り締まって、罰金を課している。; The city is cracking down on drunk drivers and giving them fines.""]","verb","godan","","N1",1
2968,"取り入れる","とりいれる","[""to take in; to gather in; 洗濯物を中へ取り入れて下さい。; Please bring in the washing.""]","verb","ichidan","","N2",1
2969,"取り付ける","とりつける","[""to install; to fit; to fix; to set up; to furnish; to equip; 彼は壁に本棚を取り付けた。; He fixed the bookshelf to the wall.""]","verb","ichidan","","N1",1
2970,"取り戻す","とりもどす","[""to take back; to get back; to regain; to recover; to restore; to recoup; 私たちは、失った時間を取り戻さなくてはならない。; We must make up for lost time.""]","verb","godan","","N1",1
2971,"取り立てる","とりたてる","[""to collect (debts); to dun; to exact; to extort; 王は人民から税を厳しく取り立てた。; The king exacted taxes from his people.""]","verb","ichidan","","N1",1
2972,"取る","とる","[""to take; to pick up; to grab; to catch; to hold; 先生はノートを取ることの大切さを強調した。; The teacher stressed the importance of taking notes.; お皿に取ったものは全部食べなさい。; You'd better eat everything that's on your plate.""]","verb","godan","","N5",1
2973,"取れる","とれる","[""to come off (of a button, handle, lid, etc.); 鋳物が金型からすっぽりとれた。; The casting came cleanly out of its mold.""]","verb","ichidan","","N2",1
2974,"取材","しゅざい","[""gathering material (for an article, novel, etc.); collecting information; covering (an event, incident, etc.); reporting; interview (for a news story); 彼女は金融市場の取材を担当している。; She covers Wall Street.""]","noun","suru","","N1",1
2975,"守る","まもる","[""to protect; to guard; to defend; あなたは、自分の家族を守らなければならない。; You have to protect your family.""]","verb","godan","","N2",1
2976,"守衛","しゅえい","[""(security) guard; caretaker; janitor; doorkeeper; gatekeeper; 守衛にとがめられた。; I was challenged by a gatekeeper.""]","noun","","","N1",1
2977,"守備","しゅび","[""defense; defence; antonym: ; 攻撃;  1. attack; assault; raid; onslaught; offensive""]","noun","suru","","N1",1
2978,"手","て","[""hand; arm; occ. pronounced た when a prefix; see: ; お手;  1. hand; arm; こちらに来るように手で合図した。; I made motions at him to come here with my hand.""]","noun","","","N5",1
2979,"手回し","てまわし","[""turning by hand; hand-turned; hand-cranked""]","noun","","","N1",1
2980,"手掛ける","てがける","[""to handle; to manage; to deal with; to work with; to have experience with; 私は４年前からこの仕事を手がけています。; I started doing this work 4 years ago.""]","verb","ichidan","","N1",1
2981,"手間","てま","[""time; labour; labor; effort; 食べるのにどうしてそんなに手間がかかるのか。; Why do you take so long to eat?""]","noun","","","N2",1
2982,"手近","てぢか","[""near; close by; within reach; handy; いつも手近に辞書を持っていなさい。; Always have your dictionary near at hand.""]","noun","","na_adjective","N1",1
2983,"手軽","てがる","[""easy; simple; informal; offhand; cheap; 年来の経済病には手軽にきく万能薬などありません。; There is no easy cure-all for old economic ills.""]","noun","","na_adjective","N1",1
2984,"手芸","しゅげい","[""handicrafts; 去年手芸コースを取っていたのです。; I took a handicraft course last year.""]","noun","","","N1",1
2985,"手元","てもと","[""at hand; on hand; nearby; close at hand; 私はいつも辞典を３冊手元に置いています。; I always keep three dictionaries at hand.""]","adverb","","","N1",1
2986,"手頃","てごろ","[""handy; convenient; この辞書は大きさが手ごろだ。; This dictionary is handy in size.""]","noun","","na_adjective","N2",1
2987,"手際","てぎわ","[""skill; ability; dexterity""]","noun","","","N1",1
2988,"手紙","てがみ","[""letter; note; ここにあなたあての手紙が何通かあります。; Here are some letters for you.""]","noun","","","N5",1
2989,"手首","てくび","[""wrist; 転んで手首を痛めました。; I fell down and hurt my wrist.""]","noun","","","N2",1
2990,"手術","しゅじゅつ","[""surgery; operation; procedure; 手術をしなければなりません。; You have to have an operation.""]","noun","suru","","N2",1
2991,"手順","てじゅん","[""process; procedure; sequence; protocol; instruction; Windows XPにはＣＤを焼く機能があるそうですが、その手順を解説しているページを教えてください。; I hear that you can burn CDs with Windows XP; could you tell me a website that explains the procedures involved?""]","noun","","","N1",1
2992,"手錠","てじょう","[""handcuffs; manacles; 抗議することもできないうちに、僕は手錠をかけられ、留置場に送られていた。; Before I could protest, I was handcuffed and was on my way to prison.""]","noun","","","N1",1
2993,"手数","てすう; てかず","[""trouble; bother""]","noun","","","N1",1
2994,"手洗い","てあらい","[""washing one's hands; water (or basin, etc.) for washing one's hands""]","noun","","","N2",1
2995,"手前","てまえ","[""before oneself; in front of one; nearby; 手前のガラス張りの建物は薔薇園なんです。温室になっていて、いつも薔薇を観賞できるようになってるんですよ。; The glass fronted building before you is the rose garden. It's a greenhouse so you will always be able to appreciate the roses.""]","noun","","","N2",1
2996,"手袋","てぶくろ","[""glove; mitten; mitt; この手袋は両方がそろっていない。; Their gloves are not in pairs.""]","noun","","","",1
2997,"手段","しゅだん","[""means; way; measure; 全ての手段が試みられたわけではない。; Every means has not been tried.""]","noun","","","N2",1
2998,"手遅れ","ておくれ","[""being too late; losing one's final chance; 手後れにならないうちに、必要な措置を取るべきです。; We should take the necessary steps before it's too late.""]","noun","","","N1",1
2999,"手伝い","てつだい","[""helper; assistant; ４年間は彼は最初の値段で芝を刈ってくれたが、その年の終わりに彼はしょっちゅう手伝いを連れていることに気がついた。; For four years, he cut the grass at the original price, but I noticed that toward the end of that year, he had a helper with him quite often.""]","noun","","","N2",1
3000,"手伝う","てつだう","[""to help; to assist; to aid; いつでもお手伝いします。; I am always ready to help you.""]","verb","godan","","",1
3001,"手入れ","ていれ","[""care; looking after; repair; maintenance; tending; trimming; grooming; あなたに庭の手入れを手伝って頂きたいのですが。; I would like you to assist me with my gardening.""]","noun","suru","","N2",1
3002,"手配","てはい","[""arrangement; preparations; 何とか手配してあげましょう。; Let's try to arrange something.""]","noun","suru","","N1",1
3003,"手筈","てはず","[""arrangements; plan; programme; program; preparations; 夏の旅行の手はずはついていると父はほのめかした。; My father implied our summer trip was arranged.""]","noun","","","N1",1
3004,"手品","てじな","[""magic (illusion); conjuring; magic trick; conjuring trick; sleight of hand; 少年はたくさんの手品が使える。; The boy knows many magic tricks.""]","noun","","","N2",1
3005,"手分け","てわけ","[""division of work; sharing out the work; splitting into groups (e.g. to search for someone); separating into parties; 医学生が手分けして勉強することはまれである。; Shared studying among premeds is rare.""]","noun","suru","","N1",1
3006,"手法","しゅほう","[""technique; method; 彼の手法は全く驚くべきものだった。; His technique was absolutely amazing.""]","noun","","","N1",1
3007,"手本","てほん","[""model; (good) example; exemplar; paragon; 彼の行儀をお手本にしなさい。; Model your manners on his.""]","noun","","","N1",1
3008,"殊に","ことに","[""especially; particularly; unusually; above all""]","adverb","","","N1",1
3009,"狩り","かり","[""hunting; hunt; shooting; pronounced がり as a suffix; 男たちはライオン狩りに出かけた。; The men went hunting for lions.""]","noun","","","N1",1
3010,"種","しゅ; たね","[""kind; sort; type; class; ６種の道具がひとまとまりになっている。; A half-dozen tools make up the tool collection.""]","noun","","","N2",1
3011,"種類","しゅるい","[""variety; kind; type; category; 動物園にはたくさんの種類の動物がいる。; There are many kinds of animals in the zoo.""]","noun","","","N2",1
3012,"腫れる","はれる","[""to swell (from inflammation); to become swollen; 扁桃腺がはれている気がするのですが。; I'm afraid my tonsils are swollen.""]","verb","ichidan","","N1",1
3013,"趣","おもむき","[""meaning; tenor; gist; それは、いくぶんナンセンスな趣きの楽しさがあった。; It was a delightful bit of nonsense.""]","noun","","","N1",1
3014,"趣旨","しゅし","[""meaning; point (e.g. of a statement); gist; effect; 彼のスピーチの主旨を教えてください。; Tell me the substance of his speech.""]","noun","","","N1",1
3015,"趣味","しゅみ","[""hobby; pastime; 趣味については話しましたか？; Did you talk about your hobby?""]","noun","","","",1
3016,"酒","さけ","[""alcohol; sake; 僕は酒も煙草もやらないんだ。; I neither drink nor smoke.""]","noun","","","N2",1
3017,"お酒","おさけ","[""alcohol; sake; 夫はたまに御酒をたしなみます。; My husband enjoys his glass once in a while.""]","noun","","","N5",1
3018,"酒場","さかば","[""bar; pub; tavern; 彼はその酒場で歯医者に成りすましていた。; He posed as a dentist at that bar.""]","noun","","","N2",1
3019,"首飾り","くびかざり","[""necklace; choker; 彼女は高価な首飾りをしています。; She is wearing an expensive necklace.""]","noun","","","N1",1
3020,"首相","しゅしょう","[""prime minister; chancellor (Germany, Austria, etc.); premier; 首相の留守中は外務大臣が代理を務める。; The foreign minister will act for the Prime Minister in his absence.""]","noun","","","N2",1
3021,"首都","しゅと","[""(national) capital (city); metropolis; 東京は日本の首都です。; Tokyo is the capital of Japan.""]","noun","","","N2",1
3022,"首脳","しゅのう","[""head; leader; top; esp. 首脳; ７カ国の首脳がその会議に出席した。; The top leaders of seven countries attended the meeting.""]","noun","","","N1",1
3023,"首輪","くびわ","[""(animal) collar; 犬は首輪をすり抜けた。; The dog slipped his collar.""]","noun","","","N1",1
3024,"受かる","うかる","[""to pass (examination); 彼はかろうじて試験に受かった。; He barely passed the examination.""]","verb","godan","","N1",1
3025,"受ける","うける","[""to receive; to get; ６５歳以上の人たちは政府から年金を受けている。; People 65 and above get a pension from the government.""]","verb","ichidan","","",1
3026,"受け継ぐ","うけつぐ","[""to inherit; to succeed; to take over; 彼はその財産を受け継ぐ資格はない。; He has no claim to the property.""]","verb","godan","","N1",1
3027,"受け止める","うけとめる","[""to catch; to stop the blow""]","verb","ichidan","","N1",1
3028,"受け持つ","うけもつ","[""to take (be in) charge of; この病院では、各看護婦は５人の患者の看護を受け持っている。; In this hospital each nurse attends five patients.""]","verb","godan","","N2",1
3029,"受け取る","うけとる","[""to receive; to get; to accept; この贈り物は受け取れません。; I cannot accept this gift.""]","verb","godan","","N2",1
3030,"受け入れ","うけいれ","[""receiving; acceptance; reception; admission; 彼は彼らの受け入れ方接待のしかたが気にいらないのだ。; He is displeased with their way of reception.""]","noun","","","N1",1
3031,"受け入れる","うけいれる","[""to accept; to receive; to agree; このホテルは犬は受け入れない。; This hotel does not take dogs.""]","verb","ichidan","","N1",1
3032,"受け付ける","うけつける","[""to accept; to receive (an application); to take up; 後になってテストを提出しても、受け付けられません。; If you turn in a test late, it will not be accepted.""]","verb","ichidan","","N1",1
3033,"受験","じゅけん","[""taking an examination (esp. for entrance to a school or university); 受験したが失敗するだけだった。; I sat the exam only to fail it.""]","noun","suru","","N2",1
3034,"受取","うけとり","[""receiving; receipt; お受け取りくださって幸いに存じます。; It was gracious of you to accept.""]","noun","","","N2",1
3035,"受身","うけみ","[""the defensive; どうしてそんなに受け身的なのか。仕返ししてはどうだ。; How can you be so passive? Why don't you retaliate?""]","noun","","na_adjective","N1",1
3036,"受話器","じゅわき","[""(telephone) receiver; 彼は急いで受話器を置いた。; He put the phone down in haste.""]","noun","","","N2",1
3037,"寿命","じゅみょう","[""lifespan; life; lifetime; これらの発見のおかげで人間の寿命が以前の２倍になった。; Thanks to these discoveries, man's life span has become twice as long as before.""]","noun","","","N2",1
3038,"授ける","さずける","[""to grant; to give; to confer; to award; 聖霊がある方の上に下って、その上にとどまられるのが見えたなら、その方こそ聖霊によってバプテスマを授ける方である。; The man on whom you see the Spirit come down and remain is he who will baptize with the Holy Spirit.""]","verb","ichidan","","N1",1
3039,"授業","じゅぎょう","[""lesson; class; teaching; instruction; classwork; schoolwork; それは授業の終わりだった。; That was the end of the class.""]","noun","suru","","N2",1
3040,"樹木","じゅもく","[""tree; trees and shrubs; 果実がなる樹木は、成長するための空間がかなり必要だ。; Fruit trees require a large amount of space in which to grow.""]","noun","","","N1",1
3041,"樹立","じゅりつ","[""establishment; founding; setting (a record); イギリス人は１６０９年アメリカに植民地を樹立した。; The English established colonies in America in 1609.""]","noun","suru","","N1",1
3042,"需要","じゅよう","[""demand; need; 価格は需要を反映する。; The price reflects the demand.""]","noun","","","N2",1
3043,"収まる","おさまる","[""to fit into (a box, frame, category, etc.); to be contained within; to fall within (e.g. a budget); 彼は外務大臣に収まった。; He was established as Foreign Minister.""]","verb","godan","","N1",1
3044,"納まる","おさまる","[""to fit into (a box, frame, category, etc.); to be contained within; to fall within (e.g. a budget); 彼は外務大臣に収まった。; He was established as Foreign Minister.""]","verb","godan","","N1",1
3045,"収益","しゅうえき","[""earnings; proceeds; returns; revenue; その投資は現在６％の収益を彼にもたらしている。; The investment now yields him 6%.""]","noun","","","N1",1
3046,"収穫","しゅうかく","[""harvest; crop; ingathering; 私たちはみな収穫の手伝いをした。; We all helped with the harvest.""]","noun","suru","","N2",1
3047,"収支","しゅうし","[""income and expenditure; アメリカでは多くの夫婦が収支をあわせるため共稼ぎをしている。; Many couples in America both work to make ends meet.""]","noun","","","N1",1
3048,"収入","しゅうにゅう","[""income; earnings; revenue; proceeds; takings; receipts; antonym: ; 支出;  expenditure; disbursement; expenses; 収入以上の生活をするな。; Do not live above your income.""]","noun","","","N3",1
3049,"収容","しゅうよう","[""accommodation; taking in; receiving; housing; seating; admission (of patients, students, etc.); このホテルは５００人の客を収容できる。; This hotel can accommodate 500 guests.; あの教会施設は避難民を収容している。; That church organization takes in refugees.""]","noun","suru","","N1",1
3050,"周囲","しゅうい","[""surroundings; environs; 生活のしかたを周囲の状況に合わせたらどうだい。; Why don't you adapt your way of life to circumstances?""]","noun","","","N2",1
3051,"周期","しゅうき","[""cycle; period""]","noun","","","N1",1
3052,"周辺","しゅうへん","[""circumference; outskirts; environs; around; in the area of; in the vicinity of; 北極圏とは北極周辺の地域の事である。; The Arctic is the area round the North Pole.""]","noun","","","N2",1
3053,"宗教","しゅうきょう","[""religion; religious affiliation; belief; faith; creed; 手始めは、三大宗教の聖地、エルサレムを訪れることだった。; For a start, I visited Jerusalem - a sacred place for three major religions.""]","noun","","","N3",1
3054,"就く","つく","[""to take (seat, position, course, office, etc.); to assume; to be hired; to be employed; see: ; 付く; （; つく; ）;  1. to be attached; to be connected with; to adhere; to stick; to cling; 友人の好意で職に就くことができた。; I was able to get a job through the good offices of my friend.""]","verb","godan","","N2",1
3055,"就業","しゅうぎょう","[""employment; starting work""]","noun","suru","","N1",1
3056,"就職","しゅうしょく","[""finding employment; getting a job; なぜ就職を断られたのか。; Why was I turned down for the job?""]","noun","suru","","N2",1
3057,"就任","しゅうにん","[""assumption (of office); taking up (a post); inauguration; installation; 彼は大統領に就任した。; He was inaugurated as President.""]","noun","suru","","N2",1
3058,"州","しゅう","[""state (of the US, Australia, India, Germany, etc.); province (e.g. of Canada); county (e.g. of the UK); region (e.g. of Italy); canton; oblast; 南部の州へ冬期に旅行すると、今旅行するよりも料金が高くなります。; Traveling to the southern states during the winter will be costlier than it is now.""]","noun","","","N2",1
3059,"修学","しゅうがく","[""learning""]","noun","suru","","N1",1
3060,"修士","しゅうし","[""master's (degree); 彼は法学修士の学位を得た。; He got a master's degree in law.""]","noun","","","N1",1
3061,"修飾","しゅうしょく","[""ornamentation; embellishment; decoration; adornment""]","noun","suru","","N1",1
3062,"修正","しゅうせい","[""amendment; correction; revision; modification; alteration; retouching; update; fix; 失礼ですが御提案を修正させていただきます。; I beg to modify your proposal.""]","noun","suru","","N2",1
3063,"修繕","しゅうぜん","[""repair; mending; この椅子は修繕する必要がある。; This chair is in want of repair.""]","noun","suru","","N2",1
3064,"修理","しゅうり","[""repair; mending; fixing; servicing; その車は修理する価値がない。; The car isn't worth repairing.""]","noun","suru","","N2",1
3065,"拾う","ひろう","[""to pick up; to gather; 床からペンを拾って下さい。; Please pick up the pen from the floor.""]","verb","godan","","",1
3066,"秋","あき","[""autumn; fall; 秋には木の葉が落ちる。; Leaves fall in the autumn.""]","noun","","","N3",1
